Sample,Family ,Biomass,Common_name,SL (lab),FL (lab),Collection Date,Proccess Date,Slope_NH3,Yintercept_NH3,ABS_A_NH3,ABS_B_NH3,Conc_A_NH3,Conc_B_NH3,Conc_Diff_NH3,Slope_PO3,Yintercept_PO3,ABS_A_PO3,ABS_B_PO3,Conc_A_PO3,Conc_B_PO3,Conc_Diff_PO3
166,Batrachoididae,23.801,Oyster Toadfish,39,47,20180822,20190624,128.73,0.0495,0.094,0.1,12.193,12.923,0.729,114.86,-0.077,0.011,0.011,1.187,1.187,0
56,Belonidae,6.195,Atlantic Needlefish,167,178,20180713,20190804,134.19,-0.2751,0.011,0.086,1.201,11.265,10.064,110.53,-0.326,0.002,0.006,-0.16,0.338,0.497
118,Belonidae,19.105,Atlantic Needlefish,239,259,20180816,20190630,149.56,1.4461,0.022,0.222,4.736,34.648,29.912,114.33,0.257,-0.006,0.015,-0.429,1.972,2.401
119,Belonidae,14.495,Atlantic Needlefish,208,225,20180816,20190630,149.56,1.4461,0.087,0.347,14.458,53.343,38.886,114.33,0.257,-0.009,0.002,-0.772,0.485,1.258
126,Belonidae,10.413,Atlantic Needlefish,206,221,20180816,20190630,149.56,1.4461,0.014,0.283,3.54,43.772,40.232,114.33,0.257,0.002,0.006,0.428,0.943,0.514
137,Belonidae,6.62,Atlantic Needlefish,23,28,20180816,20190612,138.13,-1.5337,0.045,0.051,4.682,5.511,0.829,119.51,-0.119,0.001,0.001,0.001,0.001,0
60,Carangidae,0.633,Crevalle Jack,27,33,20180713,20190804,134.19,-0.2751,0.025,0.034,3.08,4.287,1.208,110.53,-0.326,0.01,0.029,0.78,2.88,2.1
143,Carangidae,1.34,Crevalle Jack,36,41,20180821,20190708,141.4,1.2027,0.01,0.02,2.617,4.031,1.414,115.9,-0.741,0.005,0.008,-0.162,0.186,0.348
144,Carangidae,2.62,Crevalle Jack,45,52,20180821,20190629,147.49,-0.2814,0.042,0.096,5.913,13.878,7.964,118.23,-0.353,0.002,0.009,-0.116,0.711,0.828
155,Carangidae,1.56,Crevalle Jack,35,40,20180821,20190708,141.4,1.2027,0.003,0.015,1.627,3.324,1.697,115.9,-0.741,0.001,0.003,-0.625,-0.394,0.232
193,Carangidae,4.488,Permit,45,56,20180919,20190624,128.73,0.0495,0.022,0.13,2.882,16.784,13.903,114.86,-0.077,0.008,0.013,0.842,1.416,0.574
194,Carangidae,11.038,Permit,61,71,20180919,20190624,128.73,0.0495,0.009,0.104,1.208,13.437,12.229,114.86,-0.077,0.003,0.004,0.268,0.383,0.115
195,Carangidae,11.174,Permit,64,78,20180919,20190624,128.73,0.0495,0.03,0.117,3.911,15.111,11.2,114.86,-0.077,0.005,0.008,0.497,0.842,0.345
200,Carangidae,4.936,Permit,49,57,20180919,20190623,125.13,-2.3739,0.01,0.088,-1.164,8.596,9.76,122.38,0.731,-0.008,0.123,-0.248,15.825,16.073
51,Clupeidae,1.701,Alewife,46,52,20180713,20190804,134.19,-0.2751,0.071,0.079,9.252,10.326,1.074,110.53,-0.326,0.001,0.005,-0.215,0.227,0.442
52,Clupeidae,1.325,Alewife,44,47,20180713,20190804,134.19,-0.2751,0.044,0.067,5.629,8.716,3.086,110.53,-0.326,0.002,0.005,-0.104,0.227,0.332
57,Clupeidae,3.361,Alewife,59,65,20180713,20190804,134.19,-0.2751,0.02,0.079,2.409,10.326,7.917,110.53,-0.326,0.002,0.018,-0.104,1.664,1.768
71,Clupeidae,1.224,Alewife,43,48,20180717,20190807,134.94,3.8926,-0.036,0.006,-0.965,4.702,5.667,120.83,-0.261,0.003,0.005,0.101,0.343,0.242
72,Clupeidae,0.482,Blueback Herring,33,36,20180717,20190807,134.94,3.8926,-0.015,-0.005,1.869,3.218,1.349,120.83,-0.261,0.002,0.005,-0.02,0.343,0.362
74,Clupeidae,0.506,Blueback Herring,32,36,20180717,20190807,134.94,3.8926,-0.038,-0.029,-1.235,-0.021,1.214,120.83,-0.261,0.004,0.009,0.222,0.826,0.604
84,Clupeidae,0.349,Blueback Herring,31,35,20180717,20190807,134.94,3.8926,-0.041,0.001,-1.64,4.028,5.667,120.83,-0.261,0.007,0.008,0.585,0.705,0.121
146,Clupeidae,0.62,Atlantic Menhaden,38,43,20180821,20190808,131.29,2.8105,-0.003,0.018,2.417,5.174,2.757,118.23,-0.353,0.005,0.01,0.239,0.83,0.591
147,Clupeidae,0.9,Atlantic Menhaden,41,46,20180821,20190629,147.49,-0.2814,0.014,0.026,1.783,3.48,1.696,118.23,-0.353,0.006,0.017,0.357,1.657,1.301
205,Clupeidae,21.565,Atlantic Menhaden,74,85,20181016,20190623,129.56,-3.7568,0.051,0.139,2.872,14.295,11.423,125.44,0.039,-0.003,0.01,-0.338,1.293,1.631
206,Clupeidae,10.955,Atlantic Menhaden,42,48,20181016,20190623,129.56,-3.7568,0.07,0.199,5.269,22.069,16.8,125.44,0.039,-0.002,0.011,-0.212,1.46,1.673
207,Clupeidae,17.558,Atlantic Menhaden,86,100,20181016,20190623,129.56,-3.7568,0.065,0.168,4.665,18.052,13.388,125.44,0.039,-0.004,0.003,-0.421,0.415,0.836
6,Cottidae,0.474,Grubby,26,32,20180711,20190729,132.35,-1.2133,0.077,0.148,8.978,18.375,9.397,109.74,-0.906,0.005,0.017,-0.357,0.959,1.317
28,Cottidae,1.46,Grubby,43,50,20180711,20190726,132.11,1.6326,0.007,0.315,2.557,43.247,40.69,114.02,-0.327,0.005,0.007,0.243,0.471,0.228
32,Cottidae,0.917,Grubby,35,43,20180711,20190726,132.11,1.6326,0.004,0.201,2.161,28.187,26.026,114.02,-0.327,0.011,0.011,0.927,0.927,0
10,Cyprinodontidae,0.796,Sheepshead Minnow,28,34,20180711,20190729,132.35,-1.2133,0.131,0.216,16.125,27.374,11.25,NA,NA,NA,NA,NA,NA,NA
63,Cyprinodontidae,2.818,Sheepshead Minnow,41,49,20180713,20190804,134.19,-0.2751,0.021,0.034,2.543,4.287,1.744,110.53,-0.326,0.006,0.013,0.338,1.111,0.774
67,Cyprinodontidae,2.515,Sheepshead Minnow,43,50,20180713,20190807,134.94,3.8926,-0.029,-0.007,-0.021,2.948,2.969,120.83,-0.261,0,0.008,-0.261,0.705,0.967
68,Cyprinodontidae,0.636,Sheepshead Minnow,28,32,20180713,20190807,134.94,3.8926,-0.022,-0.014,0.924,2.003,1.08,120.83,-0.261,-0.001,0.006,-0.382,0.464,0.846
108,Cyprinodontidae,0.919,Sheepshead Minnow,30,36,20180809,20190709,132,-0.6718,0.056,0.095,6.72,11.868,5.148,103.72,-0.017,0.006,0.009,0.554,0.917,0.363
168,Cyprinodontidae,0.851,Sheepshead Minnow,49,62,20180822,20190624,128.73,0.0495,-0.016,-0.01,-2.01,-1.238,0.772,114.86,-0.077,0.013,0.014,1.416,1.531,0.115
208,Engraulidae,0.879,Bay Anchovy,44,49,20181016,20190623,129.56,-3.7568,0.027,0.029,-0.259,0,0.259,125.44,0.039,0,0.003,-0.003,0.373,0.376
209,Engraulidae,0.59,Bay Anchovy,41,46,20181016,20190623,129.56,-3.7568,0.038,0.039,1.166,1.296,0.13,125.44,0.039,0.004,0.004,0.54,0.54,0
210,Engraulidae,0.95,Bay Anchovy,45,50,20181016,20190623,129.56,-3.7568,0.055,0.078,3.412,6.306,2.894,125.44,0.039,0.005,0.008,0.708,1.042,0.335
211,Fistulariidae,1.877,Bluespotted Cornetfish,149,196,20181016,20190623,129.56,-3.7568,0.043,0.055,1.814,3.326,1.512,125.44,0.039,-0.001,-0.001,-0.129,-0.045,0.084
9,Fundulidae,6.512,Striped Killifish,,80,20180711,20190729,132.35,-1.2133,0.007,0.091,-0.287,10.831,11.117,109.74,-0.906,0.005,0.008,-0.357,-0.028,0.329
15,Fundulidae,0.563,Striped Killifish,32,37,20180711,20190729,132.35,-1.2133,0.001,0.061,-1.081,6.86,7.941,109.74,-0.906,0.002,0.005,-0.687,-0.357,0.329
17,Fundulidae,16.299,Mummichog,93,108,20180711,20190729,132.35,-1.2133,0.029,0.179,2.625,22.477,19.853,109.74,-0.906,0.007,0.023,-0.138,1.618,1.756
18,Fundulidae,7.009,Striped Killifish,75,85,20180711,20190729,132.35,-1.2133,0.033,0.323,3.154,41.536,38.382,109.74,-0.906,0.013,0.013,0.521,0.521,0
20,Fundulidae,0.391,Striped Killifish,27,34,20180711,20190726,132.11,1.6326,0.022,0.034,4.539,6.124,1.585,114.02,-0.327,0.002,0.012,-0.099,1.041,1.14
24,Fundulidae,0.885,Rainwater Killifish,34,41,20180711,20190726,132.11,1.6326,0.076,0.165,11.673,23.431,11.758,114.02,-0.327,0.007,0.009,0.471,0.699,0.228
29,Fundulidae,0.788,Striped Killifish,34,41,20180711,20190726,132.11,1.6326,0.016,0.056,3.746,9.031,5.284,114.02,-0.327,0.005,0.008,0.243,0.585,0.342
30,Fundulidae,3.965,Striped Killifish,57,68,20180711,20190726,132.11,1.6326,0.093,0.104,13.919,15.372,1.453,114.02,-0.327,0.002,0.006,-0.099,0.357,0.456
41,Fundulidae,5.068,Mummichog,60,69,20180713,20190804,134.19,-0.2751,0.01,0.088,1.067,11.534,10.467,110.53,-0.326,0.004,0.005,0.117,0.227,0.111
44,Fundulidae,0.912,Rainwater Killifish,,40,20180713,20190804,134.19,-0.2751,0.002,0.014,-0.007,1.604,1.61,110.53,-0.326,0.002,0.004,-0.104,0.117,0.221
48,Fundulidae,4.202,Mummichog,57,66,20180713,20190804,134.19,-0.2751,0.015,0.105,1.738,13.815,12.077,110.53,-0.326,0.005,0.006,0.227,0.338,0.111
53,Fundulidae,2.992,Mummichog,50,61,20180713,20190804,134.19,-0.2751,0.037,0.084,4.69,10.997,6.307,110.53,-0.326,0.003,0.003,0.006,0.006,0
54,Fundulidae,6.332,Mummichog,63,72,20180713,20190804,134.19,-0.2751,0.045,0.121,5.763,15.962,10.198,110.53,-0.326,0.001,0.005,-0.215,0.227,0.442
55,Fundulidae,1.008,Rainwater Killifish,36,42,20180713,20190804,134.19,-0.2751,0.03,0.059,3.751,7.642,3.892,110.53,-0.326,0.002,0.002,-0.104,-0.104,0
65,Fundulidae,12.14,Striped Killifish,85,100,20180713,20190807,134.94,3.8926,-0.017,0.171,1.599,26.967,25.369,120.83,-0.261,0.001,0.007,-0.14,0.585,0.725
69,Fundulidae,10.128,Striped Killifish,83,93,20180713,20190807,134.94,3.8926,-0.026,0.129,0.384,21.3,20.916,120.83,-0.261,0.005,0.012,0.343,1.189,0.846
70,Fundulidae,18.247,Striped Killifish,97,110,20180713,20190807,134.94,3.8926,-0.038,0.116,-1.235,19.546,20.781,120.83,-0.261,0.001,0.006,-0.14,0.464,0.604
73,Fundulidae,0.796,Striped Killifish,38,44,20180717,20190807,134.94,3.8926,-0.02,-0.003,1.194,3.555,2.361,120.83,-0.261,0,0.013,-0.261,1.31,1.571
115,Fundulidae,2.598,Striped Killifish,51,62,20180809,20190709,132,-0.6718,0.059,0.06,7.116,7.248,0.132,103.72,-0.017,0.004,0.004,0.398,0.398,0
134,Fundulidae,30.31,Striped Killifish,34,39,20180816,20190612,138.13,-1.5337,0.061,0.108,6.892,13.384,6.492,119.51,-0.119,-0.002,0.006,-0.358,0.598,0.956
138,Fundulidae,0.1,Rainwater Killifish,20,25,20180816,20190612,138.13,-1.5337,0.01,0.035,-0.152,3.301,3.453,119.51,-0.119,0.007,0.009,0.718,0.957,0.239
7,Gadidae,4.248,Atlantic Tomcod,64,76,20180711,20190729,132.35,-1.2133,0.065,0.067,7.389,7.654,0.265,109.74,-0.906,0.005,0.008,-0.357,-0.028,0.329
61,Gadidae,9.367,Atlantic Tomcod,83,100,20180713,20190804,134.19,-0.2751,0.017,0.081,2.006,10.594,8.588,110.53,-0.326,0.008,0.022,0.559,2.062,1.503
81,Gadidae,9.934,Atlantic Tomcod,84,104,20180717,20190807,134.94,3.8926,-0.009,0.072,2.678,13.608,10.93,120.83,-0.261,0.002,0.019,-0.02,2.035,2.054
121,Gadidae,19.338,Atlantic Tomcod,108,125,20180816,20190630,149.56,1.4461,0.008,0.156,2.643,24.777,22.135,114.33,0.257,-0.006,-0.002,-0.372,0.028,0.4
123,Gadidae,16.481,Atlantic Tomcod,105,124,20180816,20190630,149.56,1.4461,0.029,0.226,5.783,35.247,29.463,114.33,0.257,-0.003,0.001,-0.086,0.371,0.457
1,Gasterosteidae,0.316,Fourspine Stickleback,23,27,20180711,20190729,132.35,-1.2133,0.094,0.202,11.228,25.521,14.294,109.74,-0.906,0.006,0.016,-0.226,0.85,1.075
5,Gasterosteidae,0.801,Threespine,37,44,20180711,20190729,132.35,-1.2133,0.049,0.089,5.272,10.566,5.294,109.74,-0.906,0.009,0.011,0.082,0.301,0.219
8,Gasterosteidae,0.144,Fourspine Stickleback,25,30,20180711,20190729,132.35,-1.2133,0.093,0.094,11.095,11.228,0.132,NA,NA,NA,NA,NA,NA,NA
25,Gasterosteidae,0.671,Fourspine Stickleback,42,47,20180711,20190726,132.11,1.6326,-0.001,0.021,1.5,4.407,2.906,114.02,-0.327,0.001,0.003,-0.213,0.015,0.228
26,Gasterosteidae,0.129,Fourspine Stickleback,24,28,20180711,20190726,132.11,1.6326,-0.002,0.009,1.434,2.822,1.387,114.02,-0.327,0.001,0.009,-0.27,0.699,0.969
27,Gasterosteidae,0.807,Fourspine Stickleback,42,48,20180711,20190726,132.11,1.6326,0.051,0.064,8.37,10.088,1.717,114.02,-0.327,0.005,0.007,0.186,0.471,0.285
43,Gasterosteidae,1.121,Fourspine Stickleback,47,53,20180713,20190804,134.19,-0.2751,0.011,0.048,1.201,6.166,4.965,110.53,-0.326,0.003,0.004,0.006,0.117,0.111
47,Gasterosteidae,0.1,Fourspine Stickleback,21,24,20180713,20190804,134.19,-0.2751,-0.009,0.014,-1.483,1.604,3.086,110.53,-0.326,0.001,0.004,-0.215,0.117,0.332
49,Gasterosteidae,1.175,Fourspine Stickleback,,50,20180713,20190804,134.19,-0.2751,0.009,0.022,0.933,2.677,1.744,110.53,-0.326,0.003,0.006,0.006,0.338,0.332
64,Gasterosteidae,0.504,Fourspine Stickleback,,40,20180713,20190807,134.94,3.8926,-0.019,-0.003,1.329,3.488,2.159,120.83,-0.261,0.001,0.001,-0.14,-0.14,0
66,Gasterosteidae,0.284,Fourspine Stickleback,29,34,20180713,20190807,134.94,3.8926,-0.031,-0.021,-0.291,1.059,1.349,120.83,-0.261,0.004,0.004,0.222,0.222,0
124,Gasterosteidae,1.057,Fourspine Stickleback,46,52,20180816,20190630,149.56,1.4461,0.012,0.022,3.241,4.736,1.496,114.33,0.257,-0.007,-0.002,-0.544,0.028,0.572
179,Gerreidae,2.818,Spotfin Mojarra,50,56,20180917,20190629,147.49,-0.2814,0.036,0.076,5.028,10.854,5.826,118.23,-0.353,0.002,0.005,-0.116,0.179,0.296
180,Gerreidae,2.109,Spotfin Mojarra,45,51,20180917,20190629,147.49,-0.2814,0.035,0.074,4.881,10.633,5.752,118.23,-0.353,0.004,0.006,0.12,0.357,0.236
182,Gerreidae,1.187,Spotfin Mojarra,38,107,20180917,20190623,129.56,-3.7568,0.007,0.039,-2.85,1.253,4.103,125.44,0.039,-0.002,0.002,-0.171,0.248,0.418
184,Gerreidae,1.172,Spotfin Mojarra,38,83,20180917,20190629,147.49,-0.2814,0.047,0.062,6.651,8.863,2.212,118.23,-0.353,0.01,0.01,0.83,0.83,0
202,Gerreidae,0.777,Spotfin Mojarra,34,39,20181015,20190623,125.13,-2.3739,0.075,0.116,6.948,12.099,5.151,122.38,0.731,-0.008,0.001,-0.207,0.894,1.101
204,Gerreidae,0.591,Spotfin Mojarra,32,36,20181015,20190808,131.29,2.8105,0.04,0.044,8.062,8.587,0.525,122.38,0.731,-0.003,0.001,0.364,0.854,0.49
77,Gobiidae,0.64,Goby,30,37,20180717,20190807,134.94,3.8926,-0.037,-0.029,-1.1,-0.021,1.08,120.83,-0.261,-0.002,0.004,-0.503,0.222,0.725
82,Gobiidae,0.62,Goby,33,39,20180717,20190807,134.94,3.8926,-0.015,-0.005,1.869,3.218,1.349,120.83,-0.261,0.003,0.008,0.101,0.705,0.604
86,Gobiidae,0.944,Goby,38,45,20180717,20190807,134.94,3.8926,-0.028,-0.026,0.114,0.384,0.27,120.83,-0.261,0.004,0.007,0.222,0.585,0.362
98,Labridae,1.993,Tautog,41,50,20180809,20190808,131.29,2.8105,-0.001,0.032,2.679,7.012,4.333,114.33,0.257,0.002,0.002,0.485,0.485,0
99,Labridae,0.624,Tautog,30,36,20180809,20190808,131.29,2.8105,0.013,0.028,4.517,6.487,1.969,114.33,0.257,0.005,0.005,0.828,0.828,0
113,Labridae,0.509,Tautog,25,31,20180809,20190709,132,-0.6718,0.024,0.038,2.496,4.344,1.848,103.72,-0.017,0.005,0.009,0.502,0.917,0.415
120,Labridae,81.531,Tautog,134,159,20180816,20190630,149.56,1.4461,0.045,0.562,8.176,85.499,77.323,114.33,0.257,-0.001,-0.001,0.142,0.142,0
122,Labridae,100.219,Tautog,143,175,20180816,20190630,149.56,1.4461,0.036,0.287,6.83,44.37,37.54,114.33,0.257,-0.007,-0.002,-0.544,0.028,0.572
128,Labridae,1.367,Tautog,39,49,20180816,20190630,149.56,1.4461,0.012,0.022,3.241,4.736,1.496,114.33,0.257,-0.004,0.02,-0.201,2.543,2.744
129,Labridae,2.725,Tautog,47,57,20180816,20190630,149.56,1.4461,0.014,0.061,3.54,10.569,7.029,114.33,0.257,-0.008,-0.007,-0.658,-0.544,0.114
130,Labridae,3.45,Tautog,180,193,20180816,20190612,138.13,-1.5337,0.055,0.069,6.063,7.997,1.934,119.51,-0.119,0.002,0.005,0.12,0.479,0.359
135,Labridae,55.74,Tautog,120,146,20180816,20190612,138.13,-1.5337,0.037,0.145,3.577,18.495,14.918,119.51,-0.119,0.006,0.014,0.598,1.554,0.956
136,Labridae,5.52,Tautog,45,54,20180816,20190612,138.13,-1.5337,0.042,0.054,4.268,5.925,1.658,119.51,-0.119,-0.002,0.003,-0.358,0.24,0.598
139,Labridae,0.83,Tautog,28,34,20180816,20190612,138.13,-1.5337,0.025,0.061,1.92,6.892,4.973,119.51,-0.119,0.004,0.007,0.359,0.718,0.359
170,Labridae,0.752,Tautog,45,51,20180822,20190808,131.29,2.8105,0.022,0.054,5.699,9.9,4.201,114.86,-0.077,0.004,0.011,0.383,1.187,0.804
173,Labridae,2.57,Tautog,46,56,20180823,20190708,141.4,1.2027,0.011,0.025,2.758,4.738,1.98,115.9,-0.741,0.005,0.009,-0.162,0.302,0.464
197,Labridae,1.635,Cunner,43,52,20180919,20190808,131.29,2.8105,0.043,0.08,8.456,13.314,4.858,122.38,0.731,-0.007,-0.002,-0.125,0.523,0.649
160,Moronidae,2.974,White Perch,54,61,20180822,20190624,128.73,0.0495,0.033,0.097,4.298,12.536,8.239,114.86,-0.077,0.002,0.009,0.153,0.957,0.804
161,Moronidae,8.499,White Perch,42,49,20180822,20190624,128.73,0.0495,0.018,0.106,2.388,13.695,11.307,114.86,-0.077,0.004,0.005,0.383,0.497,0.115
162,Moronidae,9.244,White Perch,52,60,20180822,20190624,128.73,0.0495,0.017,0.178,2.281,23.006,20.726,114.86,-0.077,0.001,0.03,0.038,3.369,3.331
165,Moronidae,4.331,White Perch,65,76,20180822,20190624,128.73,0.0495,0.034,0.048,4.362,6.229,1.867,114.86,-0.077,0.005,0.006,0.517,0.612,0.096
181,Moronidae,8.114,White Perch,70,114,20180917,20190623,129.56,-3.7568,0.013,0.166,-2.073,17.793,19.866,125.44,0.039,-0.003,0.004,-0.296,0.498,0.794
186,Moronidae,8.683,White Perch,73,94,20180917,20190623,129.56,-3.7568,0.037,0.116,0.994,11.315,10.322,125.44,0.039,-0.004,0,-0.463,0.039,0.502
201,Moronidae,9.951,White Perch,75,89,20181015,20190623,125.13,-2.3739,0.084,0.179,8.137,20.024,11.887,122.38,0.731,-0.002,0.003,0.527,1.058,0.53
163,Mugilidae,15.457,White Mullet,36,44,20180822,20190624,128.73,0.0495,0.032,0.272,4.212,35.064,30.852,114.86,-0.077,0.009,0.024,0.957,2.68,1.723
164,Mugilidae,19.311,White Mullet,68,79,20180822,20190624,128.73,0.0495,0.03,0.115,3.911,14.853,10.942,114.86,-0.077,0.004,0.006,0.383,0.612,0.23
176,Mugilidae,28.997,White Mullet,108,126,20180917,20190629,147.49,-0.2814,0.019,0.289,2.521,42.343,39.822,118.23,-0.353,0.001,0.02,-0.234,2.012,2.246
178,Mugilidae,22.436,White Mullet,102,117,20180917,20190629,147.49,-0.2814,0.042,0.279,5.913,40.868,34.955,118.23,-0.353,0.004,0.038,0.12,4.14,4.02
185,Mugilidae,25.402,White Mullet,99,42,20180917,20190629,147.49,-0.2814,0.021,0.274,2.816,40.131,37.315,118.23,-0.353,0.01,0.018,0.83,1.776,0.946
198,Mugilidae,23.075,White Mullet,98,112,20180919,20190623,125.13,-2.3739,0.021,0.13,0.191,13.935,13.743,122.38,0.731,-0.008,0.022,-0.248,3.383,3.631
199,Mugilidae,21.982,White Mullet,97,115,20180919,20190623,125.13,-2.3739,0.015,0.157,-0.487,17.23,17.716,122.38,0.731,,0.015,0.731,2.526,1.795
11,Paralichthyidae,7.949,Smallmouth Flounder,74,85,20180711,20190729,132.35,-1.2133,0.045,0.062,4.742,6.992,2.25,109.74,-0.906,0.004,0.005,-0.522,-0.357,0.165
12,Paralichthyidae,8.259,Smallmouth Flounder,74,88,20180711,20190729,132.35,-1.2133,0.003,0.063,-0.816,7.125,7.941,109.74,-0.906,0.003,0.005,-0.577,-0.357,0.219
22,Paralichthyidae,2.81,Summer Flounder,56,69,20180711,20190726,132.11,1.6326,0.019,0.111,4.143,16.297,12.154,114.02,-0.327,0.006,0.013,0.357,1.098,0.741
62,Paralichthyidae,9.882,Summer Flounder,85,101,20180713,20190804,134.19,-0.2751,0.022,0.142,2.677,18.78,16.103,110.53,-0.326,0.006,0.023,0.338,2.217,1.879
76,Paralichthyidae,63.649,Summer Flounder,149,178,20180717,20190807,134.94,3.8926,-0.016,0.074,1.734,13.878,12.145,120.83,-0.261,0.003,0.006,0.101,0.464,0.362
109,Paralichthyidae,7.001,Summer Flounder,74,88,20180809,20190709,132,-0.6718,0.033,0.046,3.684,5.4,1.716,103.72,-0.017,0.006,0.009,0.606,0.917,0.311
2,Pleuronectidae,0.725,Winter Flounder,33,41,20180711,20190729,132.35,-1.2133,0.009,0.047,-0.022,5.007,5.029,109.74,-0.906,0.007,0.021,-0.138,1.398,1.536
3,Pleuronectidae,3.573,Winter Flounder,58,69,20180711,20190729,132.35,-1.2133,0.034,0.047,3.287,5.007,1.721,109.74,-0.906,0.005,0.006,-0.357,-0.226,0.132
4,Pleuronectidae,1.526,Winter Flounder,43,53,20180711,20190729,132.35,-1.2133,0.045,0.08,4.742,9.375,4.632,109.74,-0.906,0.005,0.006,-0.412,-0.226,0.187
13,Pleuronectidae,6.424,Winter Flounder,69,81,20180711,20190729,132.35,-1.2133,0.067,0.226,7.654,28.698,21.044,109.74,-0.906,0.006,0.008,-0.248,-0.028,0.219
31,Pleuronectidae,6.816,Winter Flounder,67,82,20180711,20190726,132.11,1.6326,-0.003,0.14,1.236,20.128,18.892,114.02,-0.327,0.004,0.007,0.072,0.471,0.399
33,Pleuronectidae,0.862,Winter Flounder,38,46,20180711,20190726,132.11,1.6326,-0.013,0.029,-0.085,5.464,5.549,114.02,-0.327,0.007,0.008,0.471,0.585,0.114
34,Pleuronectidae,1.307,Winter Flounder,40,49,20180711,20190726,132.11,1.6326,-0.02,0,-1.01,1.633,2.642,114.02,-0.327,0.004,0.004,0.129,0.129,0
35,Pleuronectidae,1.277,Winter Flounder,40,48,20180711,20190726,132.11,1.6326,-0.019,-0.016,-0.877,-0.481,0.396,114.02,-0.327,0.001,0.006,-0.213,0.357,0.57
37,Pleuronectidae,0.886,Winter Flounder,32,45,20180711,20190726,132.11,1.6326,-0.015,0.008,-0.349,2.689,3.039,114.02,-0.327,0.002,0.004,-0.099,0.129,0.228
39,Pleuronectidae,1.777,Winter Flounder,48,58,20180711,20190726,132.11,1.6326,-0.019,0,-0.877,1.633,2.51,114.02,-0.327,0.008,0.008,0.585,0.585,0
45,Pleuronectidae,3.508,Winter Flounder,56,69,20180713,20190804,134.19,-0.2751,0.001,0.022,-0.141,2.677,2.818,110.53,-0.326,0.005,0.008,0.227,0.559,0.332
50,Pleuronectidae,1.541,Winter Flounder,46,55,20180713,20190804,134.19,-0.2751,0.013,0.018,1.402,2.14,0.738,110.53,-0.326,0.001,0.017,-0.215,1.554,1.768
89,Pleuronectidae,40.309,Winter Flounder,123,148,20180717,20190807,134.94,3.8926,-0.023,0.116,0.789,19.546,18.757,120.83,-0.261,0.003,0.005,0.101,0.343,0.242
96,Pleuronectidae,4.597,Winter Flounder,61,77,20180809,20190630,149.56,1.4461,0.01,0.02,2.942,4.437,1.496,114.33,0.257,0.005,0.008,0.828,1.171,0.343
105,Sciaenidae,6.973,Northern Kingfish,76,89,20180809,20190709,132,-0.6718,0.023,0.163,2.364,20.844,18.48,103.72,-0.017,0.001,0.01,0.087,1.021,0.933
116,Sciaenidae,4.076,Northern Kingfish,62,75,20180809,20190709,132,-0.6718,0.064,0.139,7.776,17.676,9.9,103.72,-0.017,0.01,0.011,1.021,1.124,0.104
145,Sciaenidae,13.23,Northern Kingfish,81,109,20180821,20190629,147.49,-0.2814,0.03,0.137,4.143,19.925,15.781,118.23,-0.353,0.006,0.009,0.357,0.711,0.355
