"Pond","Year","Alewife","Atlantic Menhaden","Atlantic Needlefish","Atlantic Silverside","Atlantic Tomcod","Bay Anchovy","Black Seabass","Crevalle Jack","Fourspine Stickleback","Goby","Grubby","Inshore Lizardfish","Mummichog","Northern Kingfish","Northern Pipefish","Oyster Toadfish","Rainwater Killifish","Scup","Sheepshead Minnow","Smallmouth Flounder","Spotfin Mojarra","Striped Killifish","Summer Flounder","Tautog","White Mullet","White Perch","Winter Flounder"
"QP","2012",0,50,1,26.3076923076923,0,0,5.35294117647059,0,2,0,0,1,21,0,1.25,1,1,5.375,1,0,1,5.48648648648649,1,0,4.2,0,2.2710843373494
"QP","2013",0,0,1,12.9516129032258,0,1,2.54545454545455,0,0,0,1.5,1,1,0,1,0,0,1,0,0,0,2.2,0,1,4,0,1.09615384615385
"QP","2014",0,4372.5,1,13.4155844155844,0,0,4.42857142857143,0,0,1.25,1,1.5,0,0,1,1,0,1,0,0,0,3.2,1,1.15384615384615,2.16666666666667,0,1.34117647058824
"QP","2015",1,1,1,11.7317073170732,0,0,6.83333333333333,0,1,0,2,1.25,9,1.33333333333333,1,0,0,14.4,37,0,0,9.61764705882353,0,1,1.5,0,1.81132075471698
"WP","2010",0,1,0,12.2424242424242,0,0,2,1,1.5,0,3.5,0,65,0,1,0,4.5,0,43.125,0,0,16.7428571428571,1,0,1.83333333333333,0,1.58119658119658
"WP","2011",0,0,0,18.7659574468085,0,0,2,0,3.90909090909091,2,2,1,22.5,0,1,0,4,0,10.5,0,0,12.6176470588235,0,2,0,0,1.45263157894737
"WP","2012",0,0,0,5.66037735849057,0,1,3.77777777777778,0,3.25,1,2.5,0,6.72727272727273,0,1,0,2.28571428571429,1,2,0,0,3.65,1,1,1.5,0,2.47741935483871
"WP","2013",0,0,0,24.92,1,0,1.2,0,2,0,0,0,0,0,1.11111111111111,2.66666666666667,2.2,2.16666666666667,0,0,0,6.70833333333333,1,1,109.5,0,1.5
"WP","2014",0,5,0,19.1041666666667,0,1.5,3.66666666666667,1,2.5,0,1.5,1.6,10.2,0,1.25,0,1.25,0,0,0,1,13.0714285714286,1,1,0,0,1.33823529411765
"WP","2015",0,136.375,0,18.5512820512821,0,0,5,0,3.75,1,3,1.5,33.6666666666667,0,1.125,1,2.2,2,2,0,0,65.7941176470588,0,1,4,0,1.29761904761905
